Live Book Черный юмор для белых,Тишков,"Карикатуры и рисунки, вошедшие в эту книгу, создавались в 70-е и 80-е годы двадцатого века, многие были опубликованы в разных популярных газетах и журналах тех времен, некоторые публикуются впервые. В этой книге - первая полная подборка ранних работ Тишкова-карикатуриста. Каждым своим рисунком Тишков подтверждает, что весь окружающий нас мир - это только линии на бумаге.",5 000 тг,0,Гаятри,2008 г.,9785968901484,160,Твердый,290 мм x 220 мм,19 мм,637 г.,http://www.bookcity.kz/content/images/thumbs/5022645_1344672.jpeg
Афоризмы великих врачей,Бутромеев В.П. ред.,Неизвестно,8 400 тг,5,Олма,2018 г.,9785001112310,Твердый,270 мм x 210 мм,20 мм,820 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122373_1455118.jpeg
Афоризмы великих женщин,Неизвестно,"Выбранные высказывания — тонкие наблюдения, отражающие взгляд женщины на внутренний и окружающий мир, в том числе и на различных его представителей. Остроумные, меткие, глубокие афоризмы говорят о потрясающей женской интуиции, оригинальности и яркости женского ума, исключительной наблюдательности и мудрости.",1 500 тг,1,АСТ,2016 г.,9785170984664,192,Твердый,14 мм,150 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5101646_1438216.jpeg
Афоризмы великих мужчин,Неизвестно,"Остроумные, меткие, глубокие афоризмы говорят о целях и образе действия мужчин, преобразовывавших этот мир, совершавших победы, строивших и защищавших империи. Сборник содержит статьи о жизни и творчестве знаменитых мужчин, чтобы читатель понял, в каких обстоятельствах формировались их характеры.",1 600 тг,4,АСТ,2016 г.,9785170984701,192,Твердый,15 мм,145 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5101832_1438381.jpeg
Афоризмы восточной мудрости,Неизвестно,"Мудрость — это определенное выражение мыслей, основанное на опыте и сконцентрированное на идеях мыслителей и философов. Восточная мудрость — это сочетание глубоких знаний и жизненного опыта великих мира сего. Философия Востока стала единой многообразной системой идей для различных поколений. На Востоке считается, что без духовного развития любые знания бесполезны, так как мудрость всегда находится по другую сторону интеллекта и сознания. В этой книге мы предлагаем вам самую лучшую подборку афоризмов восточных мудрецов, которые помогут открыть новые имена, делая познания наиболее полными и глубокими.",1 400 тг,4,АСТ,2017 г.,9785170979011,192,Твердый,18 мм,140 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5101642_1438212.jpeg
Афоризмы Древней Греции и Рима,Кожевников А.Ю.,"Культурные шедевры Древней Греции и основы законности и государства, заложенные в Древнем Риме, - вот тот фундамент, на котором уже два тысячелетия стоит вся европейская цивилизация. Осознавая это или нет, мы ежедневно обращаемся к нашим корням, уходящим в античные времена, пользуясь мудростью древних, их крылатыми словами и афоризмами. Платон и Аристотель, Сократ и Сенека, Геродот и Плутарх, Гомер и Вергилий, Эзоп и Апулей, Софокл и Эсхил ? вот лишь несколько имен великих древних мудрецов из этой книги, обращающихся к нам через века и говорящих о самом главном: о любви и смерти, богатстве и милосердии, здоровье и знаниях. В этом красочно иллюстрированном подарочном издании перед вами предстанут основы тысячелетней мудрости человечества!",8 400 тг,5,Олма Медиа Групп,2019 г.,9785001114338,Твердый,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133661_1465637.jpeg
Афоризмы советских вождей,Коваль Ю.И.,"Несмотря на то, что Советский Союз давно канул в Лету, интерес к противоречивой и сложной советской эпохе не угасает. И вряд ли что-то сможет характеризовать ее лучше, чем пламенные выступления и речи советских вождей и общественных и культурных деятелей. В сборнике собраны мысли и высказывания, иллюстрирующие советскую действительность в самых разных ее аспектах, здесь не только политические лозунги и призывы к мировому пожару, но и суждения о смысле жизни, о человеческом предназначении, об искусстве и о многом другом.",7 200 тг,1,Олма Медиа Групп,2014 г.,9785373068383,304,Твердый,290 мм x 205 мм,28 мм,1050 г.,http://www.bookcity.kz/content/images/thumbs/5071674_1411206.jpeg
Большая жизнь хулиганствующего ортодокса,Раскин И.З.,"За полтора десятка лет книга ""ЭНЦИКЛОПЕДИЯ ХУЛИГАНСТВУЮЩЕГО ОРТОДОКСА"" набрала тираж более МИЛЛИОНА экземпляров. Теперь читатели могут познакомиться с мемуарами ее автора - известного московского книжника, книголюба и книгопродавца, вдохновенного собирателя анекдотов. Человека (как он сам о себе говорит), воспитанного маршами Чернецкого, стихами Исаковского и фильмами Чиаурели.  Его автобиография - тоже ЭНЦИКЛОПЕДИЯ (жизни самого Иосифа Раскина). В ней автор по-прежнему ХУЛИГАНСТВУЕТ. И по-прежнему остается веселым ОРТОДОКСОМ.",2 300 тг,1,"Книжный Клуб 36,6",2007 г.,9785986970998,400,Твердый,217 мм x 145 мм,23 мм,535 г.,http://www.bookcity.kz/content/images/thumbs/5068545_1408250.jpeg
Большая книга восточной мудрости (с драконом),Неизвестно,"Более 1000 лучших восточных притч и афоризмов в одной книге. Древний Китай, Тибет, Япония, Средняя Азия, Ближний Восток, Индия раскроются перед вами жемчужинами буддийской, даосской, конфуцианской, дзенской, суфийской, индуистской, хасидской и христианской мудрости. Притчи, рассказанные простым и понятным языком, и драгоценные афоризмы помогут вам понять самих себя, придадут сознанию ясность и свежесть и даже подскажут выход в непростой ситуации или оригинальное решение проблемы. Яркое подарочное оформление и вечно живая мудрость древних времен делают эту книгу запоминающимся и значимым подарком как для ценителей восточной культуры и философии, так и для тех, кто ищет мудрого совета и руководства на каждый день. Книга снабжена приложением, посвященным религиозно-философским учением Востока, примечаниями, перечнем дополнительной литературы и алфавитным указателем.",8 100 тг,5,Эксмо,2018 г.,9785040904143,800,Твердый,60 мм,800 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117679_1450600.jpeg
Большая книга мудрости,Неизвестно,"С древних времен человеческая мысль обращалась в слова и пленяла дух. Мастерство слова всегда помогало найти путь к человеческим сердцам, недаром ораторское искусство ценилось на протяжении веков. Книга, которую вы держите в руках, - это сборник цитат и изречений, передававшихся из поколения в поколение. Античность, Древний Восток, Новое и Новейшее время оживут перед вами и предстанут самыми яркими и запоминающимися образами. Деятели литературы, науки, религии, искусства и кино с разных концов света воодушевляют, мотивируют, вдохновляют на переосмысление основ жизни и бытия, напоминают о вечных истинах и истинных целях.",8 800 тг,4,Эксмо,2018 г.,9785699758616,800,Твердый,200 мм x 130 мм,75 мм,965 г.,http://www.bookcity.kz/content/images/thumbs/5064575_1404905.jpeg
Большая книга мудрости и остроумия,Душенко К.В.,"В этой книге собраны афоризмы, которые могли бы заинтересовать современного читателя. Многие из них принадлежат античным писателям, классикам XVII, XVIII, XIX веков. И если современные авторы все же преобладают, то это потому, что Сенека ничего не писал о компьютерах, Вольтер - о кино, а Марк Твен - о фрейдизме. Здесь есть изречения, заставляющие задуматься есть фразы, заставляющие улыбнуться. Но самые лучшие - те, в которых улыбку и мысль нельзя разделить. Они-то и составляют ядро ""Большой книги мудрости и остроумия"".",7 400 тг,1,Эксмо,2018 г.,9785699820955,1008,Твердый,215 мм x 145 мм,49 мм,1030 г.,http://www.bookcity.kz/content/images/thumbs/5078204_1417453.jpeg
Большая книга одесского юмора,"Хаит В.И., Квартет И, Карцев Р.А. и др.","Не уменьшающаяся с годами популярность произведений Бабеля, Ильфа и Петрова, Катаева, Олеши, продолжающееся блистательное творчество Михаила Жванецкого, вот уже почти 20 лет выходящий в Одессе юмористический журнал ""Фонтан"" - благоприятствовали появлению в ""Столице юмора"" новых талантливых авторов, пишущих в веселом жанре. Мы предлагаем вниманию читателей произведения некоторых из них. Какие-то из этих имен вам хорошо знакомы, какие-то нет. Но мы надеемся, что представленные в этой книге рассказы, стихи и миниатюры не только достойно продолжат одесские литературные традиции, но и станут любимым чтением истинных поклонников настоящего одесского юмора...",5 600 тг,4,Эксмо,2016 г.,9785699899210,928,Твердый,215 мм x 145 мм,50 мм,840 г.,http://www.bookcity.kz/content/images/thumbs/5091866_1429803.jpeg
Большая книга семейной мудрости,Сирота Э.Л.,"Дорогой читатель! Перед вами книга, которая создавалась даже не десятилетия - столетия. Ее творил сам народ, а литературно одаренные люди доводили до совершенства. Это ""Большая книга семейной мудрости"". В ней вы найдете обобщенный опыт предков и простые истины великих знатоков человеческих душ. Как узнать своего суженого, как сделать день бракосочетания незабываемым, как всей семьей правильно и радостно воспитывать детей, как черпать удовольствие в дружбе, как находить счастье творчества в повседневной работе… Наши предки из поколения в поколение размышляли об этом - и щедро делились мудростью на все времена. Ведь что может быть важнее в жизни человека, чем его родные, друзья, дом? Прикоснитесь к ней, почитайте книгу вместе с семьей - и ваши семейные узы станут еще крепче.",7 800 тг,3,Эксмо,2016 г.,9785699908257,608,Твердый,210 мм x 140 мм,50 мм,635 г.,http://www.bookcity.kz/content/images/thumbs/5098165_1436123.jpeg
Большая книга славянской мудрости,Неизвестно,"Мудрость славян, накопленная за тысячи лет, не исчезла в глубинах веков, она сохранилась в обычаях и традициях, в генах и памяти поколений, в самой душе народа и, конечно, в языке. Несметные сокровища - ценные мысли, многовековой опыт, светлые озарения - переданы при помощи ярких высказываний и литературных отрывков. В этой книге, которая является не просто сборником цитат, а собранием знаний и размышлений на различные темы. Какую область ни возьми - военную науку или любовную премудрость, воспитание подрастающего поколения или этапы духовного пути, способы сохранения телесного здоровья или умение нажить благосостояние - обо всем думали самые светлые головы. ""Премудрость одна, а мудростей много"", - гласит русская пословица.",7 200 тг,0,Эксмо,2016 г.,9785699772865,608,Твердый,200 мм x 130 мм,46 мм,615 г.,http://www.bookcity.kz/content/images/thumbs/5100378_1433143.jpeg
Большая энциклопедия хулиганствующего ортодокса,Раскин И.,"Иосиф Захарович Раскин - известный московский книжник, книголюб и книгопродавец, член Союза писателей Москвы. По его словам, воспитан маршами Чернецкого, стихами Исаковского и фильмами Чиаурели. Всю жизнь, с раннего своего детства, со времен войны, Иосиф Раскин любит анекдоты и частушки. С радостью ребенка их всегда и всем рассказывает, и когда-то из его коллекции анекдотов, цитат, курьезов, забавных случаев из жизни знаменитых людей получился солидный сборник. ""Энциклопедия хулиганствующего ортодокса"" выходила в свет уже несколько раз и давно стала бестселлером. Новое, расширенное и дополненное издание книги, разумеется, получило название ""БОЛЬШАЯ Энциклопедия хулиганствующего ортодокса"".",5 800 тг,5,"Книжный Клуб 36,6",2016 г.,9785986973586,656,Твердый,240 мм x 170 мм,36 мм,1010 г.,http://www.bookcity.kz/content/images/thumbs/5091564_1429522.jpeg
Большой словарь латинских цитат и выражений,"Душенко К.В., Багриновский Г.Ю","Словарь содержит более 9,5 тысяч латинских цитат и выражений — в несколько раз больше, чем в существующих отечественных изданиях подобного рода. При этом постклассический период латинской культуры (латынь средневековая и Нового времени, особенно научная и юридическая) представлен здесь наравне с ""классическим"", т. е. римским. Всюду, где это возможно, даются сведения о происхождении цитаты или выражения. Происхождение многих цитат и выражений указывается впервые.",8 800 тг,0,Азбука-Аттикус,2017 г.,9785389129832,912,Твердый,60 мм,945 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5114337_1447454.jpeg
В Греческом зале,Жванецкий М.М.,Нет,3 500 тг,2,Эксмо,2014 г.,9785699743131,288,Твердый,200 мм x 145 мм,32 мм,450 г.,http://www.bookcity.kz/content/images/thumbs/5062285_1402763.jpeg
Великие мысли,Неизвестно,Неизвестно,1 800 тг,5,Ирфон,2017 г.,9789997503701,Мягкий,16 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5092199_1430135.jpeg
Великие мысли великих людей. Мудрость тысячелетий. Сост. Кондрашов А.П.,Кондрашов А.П.                                                                  ,"В книгу вошли изречения великих писателей, философов, ученых, общественных и политических деятелей Востока и Запада с древнейших времен до наших дней. Склонный к размышлениям читатель найдет в настоящем сборнике не только богатую пищу для ума, но и средство отрешиться от повседневных работ, философски посмотреть на бурлящую вокруг жизнь, заглянуть в самого себя, а также отдохнуть и развлечься.",5 600 тг,1,Рипол Классик,2018 г.,9785386101732,Мягкий,10 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131239_1463610.jpeg
Великие полководцы. Афоризмы. Притчи. Легенды.,Кожевников А.Ю.,"Александр Македонский, Юлий Цезарь, Аттила, Александр Невский, Тамерлан, Михаил Кутузов, Наполеон... Имена этих великих полководцев присутствуют во всех энциклопедиях мира, об их блестящих победах повествуют тысячи книг, об их жизни сняты сотни фильмов. Каждого из них без преувеличения можно назвать национальным героем, доблестным защитником, поднявшим престиж, укрепившим могущество или расширившим границы своего государства.Уникальные мысли и высказывания знаменитых военачальников, собранные в этой книге, позволят раскрыть секрет их успеха и приобщиться к их бесценному жизненному опыту.",7 400 тг,3,Олма Медиа Групп,2018 г.,9785001112365,256,Твердый,265 мм x 210 мм,15 мм,895 г.,http://www.bookcity.kz/content/images/thumbs/5115819_1448797.jpeg
"Великое наследие древних: мысли и изречения древних греков, древних римлян, учителей Церкви, мудрецов Талмуда",Душенко К.В.,"В этой книге собраны лучшие прозаические произведения древних мыслителей, писателей, ораторов и богословов. Это далеко не первая в России антология мыслей и изречений древних. Что отличает ее от прежних? Прежде всего: ее основным источником были не ""готовые"" собрания изречений, а сочинения самих древних авторов. Указывается источник всех включенных в книгу цитат. Подробный указатель позволяет найти высказывания на самые разные темы. Итак, перед вами - самое полное из существующих на русском языке собрание мысли и красноречия древних, и в то же время - удобный в работе справочник.",6 800 тг,1,Эксмо,2019 г.,9785699830831,736,Твердый,215 мм x 145 мм,39 мм,450 г.,http://www.bookcity.kz/content/images/thumbs/5078206_1417455.jpeg
Вкус правды. Афоризмы и изречения китайских мудрецов,Сост. Малявина В.В.,"""Вкус правды"" - это сборник афоризмов китайских писателей разных исторических эпох, переведенных известным синологом Владимиром Малявиным. Для современного читателя они не так знакомы, как авторы классических текстов вроде Конфуция или Лао Цзы, но позволяют проследить развитие философской мысли и ее влияние на повседневную жизнь Поднебесной. Мудрость, заключенная в изречениях древних китайских авторов, переходит в эстетику восприятия и сердечную искренность, творческая игра духа ведет к стратегическому планированию и созиданию.",5 000 тг,2,Рипол Классик,2016 г.,9785386089481,432,Твердый,215 мм x 145 мм,30 мм,635 г.,http://www.bookcity.kz/content/images/thumbs/5107032_1435823.jpeg
Восточная мудрость,Кодзова С.З. сост.,"Восток - край восходящего солнца и древнейших цивилизаций, мировых религий и философских учений, на протяжении многих веков не утрачивающих своей значимости. Это Земля обетованная, центр сакральных знаний человечества и мир, хранящий первозданные тайны природы. Книга, которую вы сейчас держите в руках, позволит, если уж не понять, то хотя бы заглянуть в этот удивительный мир, поскольку Восток - это, помимо всего прочего, еще и родина афоризмов, встречающихся здесь на каждом шагу: в текстах священных писаний, в религиозно-философских учениях, в литературных памятниках, в художественных произведениях и в народном фольклоре. Древний Китай, Япония, Ближний Восток, Индия и Средняя Азия раскроются перед вами жемчужинами буддийской, даосской, конфуцианской, индуистской и христианской мудрости, что позволит не только наслаждаться радостями многогранной и неизведанной жизни, но и обрести внутреннюю гармонию и высшее духовное знание.",7 600 тг,4,Просвещение,2016 г.,9785373077491,304,Твердый,290 мм x 205 мм,23 мм,1055 г.,http://www.bookcity.kz/content/images/thumbs/5086990_1425652.jpeg
Вся правда о России. Часть 2,Задорнов М.,"Живой Журнал Михаила Задорнова, в котором он пишет обо всем, что кажется ему важным. О событиях в стране, в мире, о том, что происходит с нами. Книга с иллюстрациями, с интересными и познавательными фактами, и конечно же с юмором!",4 600 тг,2,Эксмо,2016 г.,9785699919031,464,Мягкий,215 мм x 145 мм,23 мм,545 г.,http://www.bookcity.kz/content/images/thumbs/5103978_1440413.jpeg
Горин Г. Малое собрание сочинений,Горин Г.И.,"Прозаик и драматург Григорий Горин – мастер афоризма, печальный балагур, веселый мыслитель, автор злободневных текстов на вечные темы. Его пьесы, сочетающие в себе непринужденность и глубину, смешинку и трагизм, иронию и сочувствие, давно разошлись на цитаты и создали собственный уникальный мир театра и кино – мир Григория Горина. В настоящее издание вошли лучшие пьесы и киносценарии автора.",3 900 тг,1,Азбука-Аттикус,2015 г.,978538909998201,640,Твердый,36 мм,665 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5075062_1414320.jpeg
"Денег нет, но вы держитесь!",Душенко К.В.,"Изречения наших политиков — новейшая область народного творчества. Иные из них уже подхвачены широкими массами. другие, не менее выдающиеся, должны быть сохранены для потомства.",2 900 тг,5,Эксмо,2018 г.,9785040932153,Мягкий,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5118836_1451712.jpeg
Достоевский: золотые афоризмы классической литературы,Достоевский Ф.М.,"Федор Михайлович Достоевский - великий русский писатель, гений не только отечественной, но и всемирной литературы. Его произведения актуальны по сей день. Перечитывая бессмертные творения писателя, каждый раз открываешь для себя что-то новое. В романах и повестях Достоевского раскрывается всестороннее знание жизни и человеческой натуры, они проникнуты глубоким психологизмом и гуманистическими идеями. И в этой книге мы привели лишь некоторые мысли великого писателя, в наиболее сжатой, афористической форме отражающие мировоззрение Достоевского.",1 200 тг,4,Планета Книг,2013 г.,9785000420102,128,Твердый,140 мм x 107 мм,9 мм,65 г.,http://www.bookcity.kz/content/images/thumbs/5070439_1410101.jpeg
Древо бытия Омара Хайяма. Афоризмы и изречения,Неизвестно,"Данная книга содержит избранные афоризмы и изречения великого персидского мыслителя и поэта Омара Хайяма из его научных и поэтических произведений. Размышления мудреца о любви и счастье, об истине и судьбе, о печали и заблуждениях, о желаниях и страстях отличаются парадоксальностью по сути и содержанию и афористичностью по форме. .Подарочное издание богато оформлено персидскими миниатюрами XV-XIX веков, иллюстрациями к стихам Хайяма, а также великолепными шедеврами живописи.",8 000 тг,5,Олма,2018 г.,9785001114444,Твердый,21 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122374_1455119.jpeg
Жемчужины мысли,Шебушева И.Д.,"Настоящее издание поистине уникально: в нем, кроме остроумных цитат великих людей, а также пословиц, ставших со временем крылатыми выражениями, размещены картины выдающихся мастеров живописи иллюстрирующие эти изречения, что дает возможность глубже прочувствовать ту или иную мысль.",700 тг,0,АСТ,2011 г.,9789851800052,128,Твердый,11 мм,256 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5040696_1362955.jpeg
Жилищно-коммунальные вредные советы,Остер Г.,"В 1649 году царем Алексеем Михайловичем был утвержден ""Наказ о градском благочинии"", где были установлены некоторые правила ведения городского хозяйства. С тех самых пор и ведет отсчет своей истории российское ЖКХ.",3 300 тг,0,АСТ,2009 г.,9785170629572,84,Твердый,266 мм x 225 мм,9 мм,543 г.,http://www.bookcity.kz/content/images/thumbs/5020706_1341894.jpeg
Задорный неФормат,Задорнов М.,"На протяжении трёх с лишним лет программа «НеФормат» на радио «Юмор FM» оставалась суперпопулярной. Количество просмотров её выпусков на сегодня составляет около двух миллионов и продолжает расти! Очень надеемся, что эта книга послужит ещё одним толчком к популяризации творчества остроумного, всеми любимого, ироничного и невероятно популярного в нашей стране писателя-сатирика Михаила Задорнова.Первая книга по мотивам «НеФормата» мгновенно разлетелась с прилавков, поэтому читайте вторую! В ней самые интересные, самые важные, самые смешные выдержки из радиопередач.",3 600 тг,3,Центрполиграф,2018 г.,9785227082671,352,Твердый,200 мм x 130 мм,30 мм,385 г.,http://www.bookcity.kz/content/images/thumbs/5125591_1458128.jpeg
Засланцы,Измайлов Л.М.,"Представляем вашему вниманию новую книгу любимца публики, писателя­острослова, мастера сатиры и виртуоза эстрады Лиона Измайлова. Вот уже не один десяток лет этот человек дарит нам заряд бодрости, хорошее настроение и добрые улыбки. Прочь скука, грусть и хандра! Читайте забавные рассказы, уморительные анекдоты, смешные байки и комические повести. Вас ждут вымышленные герои и ­ реальные персонажи из нашего прошлого: А.С. Пушкин, Н.В. Гоголь, М.И. Кутузов, Лжедмитрий I, Александр II, В.И. Ленин, И.В. Сталин, Л.И. Брежнев... Естественно, эти уроки истории преподнесены в характерном для автора забавно­ироническом стиле. Может, всё и не так было на самом деле, но никто не запрещает нам пофантазировать...",2 700 тг,1,Центрполиграф,2017 г.,9785227079640,320,Твердый,20 мм,285 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122098_1454881.jpeg
Золотая коллекция афоризмов,Неизвестно,"В этом богато иллюстрированном сборнике собраны самые известные, меткие, остроумные, тонкие и глубокомысленные высказывания талантливых, мудрых и незаурядных людей, оставивших след в науке, искусстве, политике и общественной жизни. Что думали эти выдающиеся личности о любви, о богатстве, о зависти, о лжи, об обуревающих человека страстях и желаниях?Книга предоставляет уникальную возможность ""побеседовать"" с неординарными людьми на самые актуальные и волнующие темы.",8 400 тг,5,Олма Медиа Групп,2018 г.,9785001112655,256,Твердый,18 мм,915 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5120298_1453098.jpeg
Золотые притчи,Зульфикаров Т.,"В настоящем томе собраны новеллы и притчи легендарного мудреца бессмертного бродяги, острослова и любимца разных народов Ходжи Насреддина. В разделах «Возвращение Ходжи Насреддина» и «Золотые притчи Ходжи Насреддина» знаменитый дервиш предстает скорее в печальном, философском образе, нежели в облике отчаянного жизнелюба. Эти произведения переведены на многие языки мира. Целый ряд известных режиссеров XX века обращались к творчеству Тимура Зульфикарова.",1 800 тг,1,Международный клуб любителей поэзии Абая,2004 г.,9789965611278,Твердый,17 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5044362_1385297.jpeg
Избранные пословицы русского народа,Даль В.,Неизвестно,7 500 тг,2,Олма Медиа Групп,2018 г.,9785001112297,Твердый,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5120297_1453097.jpeg
Илиада,Гомер,"Ни одно из многочисленных литературных произведений древности не оказало такого сильного влияния на дальнейшее развитие мировой культуры, как бессмертные поэмы Гомера ""Илиада"" и ""Одиссея"". Минули века, однако притягательная сила поэм легендарного эпического поэта Древней Греции неумолима. Притягательность гомеровских поэм не только в том, что их автор вводит нас в мир, отделенный от современности десятками столетий и все же необычайно реальный благодаря гению поэта, сохранившего в своих поэмах биение современной ему жизни. Бессмертие Гомера в том, что в его гениальных творениях заключены неисчерпаемые запасы общечеловеческих непреходящих ценностей - разума, добра и красоты. В настоящем издании вниманию читателей предлагается ""Илиада"" в переводе Н.И.",1 400 тг,5,Азбука-Аттикус,2014 г.,978538905870505,608,Твердый,200 мм x 130 мм,30 мм,425 г.,http://www.bookcity.kz/content/images/thumbs/5056457_1397932.jpeg
Искусство политики,Неизвестно,"Это весьма любопытное издание — своеобразный автопортрет Политика. Как из кусочков мозаики, он складывается из личных высказываний вершителей судеб человеческих. Перелистывая эти страницы, мы получаем возможность оценить неоднозначность его «выражения лица», проступающего сквозь блестящую маску из остроумных фраз и ярких лозунгов. Эта книга предоставляет слово Цезарю и Наполеону, Петру I и Николаю II, Черчиллю и Кеннеди, а также другим значимым фигурам Истории. Их деятельность во многом определила сегодняшнюю политическую карту мира. И мы готовы присоединиться к словам Сократа и Вольтера, Манна и Эйнштейна, которые утверждали, что подлинное искусство политиков раскрывается в благополучии тех, кого они величают народом, то есть нас с вами.",8 100 тг,5,АСТ,2018 г.,9785179833055,192,Твердый,14 мм,865 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5120509_1453308.jpeg
