12 этюдов для фортепиано,Скрябин А.,"Вашему вниманию предлагается нотное издание ""А. Скрябин. 12 этюдов для фортепиано. Сочинение 8"".",2 800 тг,0,Композитор,2012 г.,9790660066027,60,Мягкий,290 мм x 220 мм,5 мм,165 г.,http://www.bookcity.kz/content/images/thumbs/5127426_1336806.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 5,Юдовина-ГальперинаТ.,"Эта книга - первая универсальная работа на тему, информация по которой встречается лишь в отдельных публикациях. Это одновременно и солидный научный труд, и энциклопедия, и учебник по истории русского антиквариата. Автор-составитель книги, искусствовед Владислав Толмацкий, известен по многочисленным публикациям в журнале ""Антикварное обозрение"" и отдельным изданиям, посвященным истории антикварного рынка Петербурга. Валентин Скурлов - видный историк ювелирного искусства, эксперт Министерства культуры Российской Федерации, консультант Аукционного дома Christie's. Александр Иванов - эксперт Министерства культуры Российской Федерации, автор ряда крупных научных исследований по проблематике русского ювелирного дела.  В настоящем издании собрано в стройную, научно аргументированную систему множество сведений из разнообразных источников, имеющих какое-либо касательство к данной тематике. К таким источникам, наряду с исторической, мемуарной и эпистолярной литературой, необходимо в первую очередь отнести ценнейшие архивные материалы, ряд которых публикуется впервые. Особо следует отметить широко использованную авторами хроникальную информацию (что само по себе исключительно интересно и познавательно) - обзорные статьи, заметки, рекламные объявления, а также сюжетную и сатирическую графику из отечественных газет и журналов.  Одна из сильных сторон издания - богатейший иллюстративный материал: обилие старинных фотографий и архивных документов, репродукций картин и других произведений искусства, проходивших в разное время на антикварном рынке Санкт-Петербурга. Эта книга - не только убедительный и увлекательный рассказ об истории русского антикварного бизнеса: городских магазинах, галереях, аукционах, лотереях, и, соответственно, их владельцах и устроителях. Это также и повествование о судьбах произведений искусства, о судьбах коллекционеров, посвятивших свою жизнь собиранию художественных редкостей. Данное издание, безусловно, ценно еще и тем, что в нем приводятся детальные описания значительного числа высокохудожественных вещей с антикварных продаж разных лет, чье местонахождение в настоящее время неизвестно. Вероятно, это поможет многим музейным работникам в атрибуции и восстановлении бытования неизвестных произведений, каких немало в любом из наших музеев.  Основной блок издания состоит из двух частей с логически расположением глав по хронологическому порядку. Первая ее часть охватывает период до 1917 года, вторая часть - советские и постсоветские годы.",2 400 тг,0,Композитор СПБ,2008 г.,9790660042250,520,Твердый,2 мм,2395 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132271_1464616.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 6,Юдовина-ГальперинаТ.,"Идея серии «Большая музыка — маленькому музыканту» принадлежит Татьяне Борисовне Юдовиной-Гальпериной (1945-2003) — известному педагогу, автору статей по фортепианной педагогике, в частности по методике раннего обучения 2-3-летнего возраста. Цель серии — пробудить у детей желание играть и слушать хорошую музыку.
.Предлагаемые вашему вниманию переложения позволяют детям быстро прочитать нотный текст и получить удовольствие от исполнения прекрасной музыки. Именно с этой целью некоторые пьесы изложены в более легкой тональности, упрощена фактура, в ряде случаев приводятся только небольшие фрагменты произведений. Есть и произведения, представленные в серии не один раз: в одном альбоме в более легком переложении, а в другом — в более сложном.
.Материал, вошедший в сборники из данной серии, можно рекомендовать для работы в классе общего фортепиано в детских музыкальных школах и школах искусств, в качестве пьес для самостоятельного разучивания, для домашнего музицирования. Знание этих мелодий поможет и на уроках по музыкальной литературе.",2 400 тг,0,Композитор СПБ,9790352206939,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132212_1464555.jpeg
Большая музыка-маленькому музыканту. Легкие переложения для фортепиано. Альбом 7,Юдовина-ГальперинаТ.,"Идея серии «Большая музыка — маленькому музыканту» принадлежит Татьяне Борисовне Юдовиной-Гальпериной (1945-2003) — известному педагогу, автору статей по фортепианной педагогике, в частности по методике раннего обучения 2-3-летнего возраста. Цель серии — пробудить у детей желание играть и слушать хорошую музыку.
.Предлагаемые вашему вниманию переложения позволяют детям быстро прочитать нотный текст и получить удовольствие от исполнения прекрасной музыки. Именно с этой целью некоторые пьесы изложены в более легкой тональности, упрощена фактура, в ряде случаев приводятся только небольшие фрагменты произведений. Есть и произведения, представленные в серии не один раз: в одном альбоме в более легком переложении, а в другом — в более сложном.
.Материал, вошедший в сборники из данной серии, можно рекомендовать для работы в классе общего фортепиано в детских музыкальных школах и школах искусств, в качестве пьес для самостоятельного разучивания, для домашнего музицирования. Знание этих мелодий поможет и на уроках по музыкальной литературе.",2 400 тг,0,Композитор СПБ,9790352210431,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132276_1464621.jpeg
Буратино за синтезатором. Детские зарубежные песни в легком переложении,Неизвестно,"Эти ноты доступны каждому, кто хоть немного знаком с нотной грамотой и умеет играть на синтезаторе,— и ребенку, и взрослому. Мы специально позаботились о том, чтобы вам было легко и приятно петь под собственный аккомпанемент с вашими друзьями, с вашими детьми любимые мелодии. Все номера сборника рассчитаны даже на четырехоктавный инструмент.",1 200 тг,0,Композитор СПБ,9790660004524,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132330_1464677.jpeg
Буратино за фортепиано. Популярные детские песни в самом легком переложении,Неизвестно,"Кто в детстве не читал о приключениях деревянного человечка с длиннющим носом? Кто, читая, не представлял себя на его месте? Кто не повторял за ним: ""А я не дам некту яблоко""? Приключения Буратино веселы, смех Буратино заразителен, сам он легок и непотопляем. Девиз нотной серии ""Буратино за фортепиано"" - ""Играть легко, слушать радостно и хочется спеть"". Запомнить слова и спеть. И снова посмотреть любимое кино, где песню пел настоящий артист.",5 700 тг,1,Композитор,2014 г.,9790660009406,112,Мягкий,290 мм x 220 мм,8 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/4200799_1335811.jpeg
В классе хореографии. Хрестоматия концертмейстера,Никитина Н.,"Данное пособие составлено из произведений лучших образцов русской и зарубежной музыки, а также произведений, редко используемых на уроках в балетных классах. Здесь представлены образцы вокальной музыки, современной инструментальной и несколько авторских работ.",2 100 тг,0,Композитор СПБ,9790352209329,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132277_1464622.jpeg
В музыку с радостью. Хрестоматия. 4–5 классы. Полифония. Крупная форма. Этюды,Геталова О.,"Данное учебное пособие развивает главные идеи базового сборника «В музыку с радостью» на более сложном материале. Основной принцип его отбора: профессиональная польза, удобство в исполнении, яркие и доступные для детского восприятия музыкальные образы. Сюда вошли полифонические произведения, произведения крупной формы и этюды для 4–5 классов, представляющие «золотой фонд» педагогического репертуара, а также малоизвестные сочинения и новинки русских и зарубежных композиторов.",5 700 тг,4,Композитор,2016 г.,9790352210561,Мягкий,11 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5096715_1431669.jpeg
В музыку с радостью. Хрестоматия. 6–8 классы. Полифония. Крупная форма,Геталова О.,"Данное учебное пособие развивает главные идеи базового сборника «В музыку с радостью» на более сложном материале. Основной принцип его отбора: профессиональная польза, удобство в исполнении, яркие и доступные для детского восприятия музыкальные образы. Сюда вошли полифонические произведения, произведения крупной формы для 6–7 классов, представляющие «золотой фонд» педагогического репертуара, малоизвестные произведения, а также новинки русских и зарубежных композиторов в разных стилях и жанрах. В каждом разделе нотный материал систематизирован, выстроен по возрастанию степени сложности.",6 400 тг,4,Композитор,2019 г.,9790352210608,8 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5121522_1452680.jpeg
В музыку с радостью. Хрестоматия. 6–8 классы. Пьесы. Этюды,Геталова О.,"Данное учебное пособие развивает главные идеи базового сборника «В музыку с радостью» на более сложном материале. Основной принцип его отбора: профессиональная польза, удобство в исполнении, яркие и доступные для детского восприятия музыкальные образы.
Сюда вошли пьесы и этюды для 6–7 классов, представляющие «золотой фонд» педагогического репертуара, малоизвестные произведения, а также новинки русских и зарубежных композиторов в разных стилях и жанрах. В каждом разделе нотный материал систематизирован, выстроен по возрастанию степени сложности.",6 400 тг,4,Композитор,2016 г.,9790352210639,8 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5121523_1452681.jpeg
"В музыку с радостью. Хрестоматия. Концертные пьесы. Младшие, средние и старшие классы",Геталова О.,"Данный сборник рекомендуется использовать одновременно с учебными пособиями «В музыку с радостью» в качестве хрестоматии для расширения концертно-конкурсного репертуара. В него вошли наиболее яркие и образные пьесы различных стилей и жанров. Издание адресовано учащимся младших, средних и старших классов музыкальных школ, школ искусств, а также широкому кругу любителей музыки.",7 200 тг,0,Композитор СПБ,2019 г.,9790352213531,10 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132331_1464678.jpeg
Вальсы для фортепиано. Часть 1,Шопен Ф.,Издание содержит знаменитые вальсы Фридерика Шопена для фортепиано.,4 100 тг,3,Шабатура Д.М,2016 г.,9789857095193,54,Мягкий,5 мм,130 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116183_1449126.jpeg
Вальсы для фортепиано. Часть 2,Шопен Ф.,Неизвестно,4 800 тг,3,Шабатура Д.М,2018 г.,9789857192380,Мягкий,7 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122962_1454926.jpeg
Вальсы. Выпуск 1: Для фортепиано,Штраус И.,"В сборник включены популярные вальсы австрийского композитора, скрипача и дирижера Иоганна Штрауса - ""Тысяча и одна ночь"", ""Венская кровь"", ""Ты и ты"", ""Розы с юга"", ""Поцелуй"", ""Кайзер-вальс"". . .Предназначается для многочисленных любителей музыки.",2 600 тг,0,Музыка,9790660065600,4 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123009_1455735.jpeg
Вальсы. Выпуск 2: Для фортепиано,Штраус И.,"В сборник включены популярные вальсы австрийского композитора, скрипача и дирижера Иоганна Штрауса (1825-1899) - «Тысяча и одна ночь», «Венская кровь», «Ты и ты», «Розы с юга», «Поцелуй», «Кайзер-вальс».",3 200 тг,0,Музыка,9790660066324,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123010_1455736.jpeg
Вальсы. Для фортепиано. Выпуск VI.Танцы для бала юристов. Прощальные возгласы. Стрекоза,Штраус И. (сын),"Иоганн Штраус-сын - великий австрийский композитор, в первую очередь прославившийся как автор множества танцевальных произведений. Среди них особое место занимают вальсы. Авторские характеристичные названия вальсов мастерски отражены и в музыкальном содержании. Структура сочинений необычна: между интродукцией и кодой заключены пять вальсовых тем, представляющих собой своеобразную вальсовую ""гирлянду"". В настоящей серии планируется публикация наиболее полного собрания вальсов Штрауса в переложении для фортепиано. Один из 12 вальсов настоящего выпуска был посвящен жене великого князя во время пребывания Штрауса в России. Издание адресовано учащимся музыкальных школ, училищ, вузов, а также широкому кругу любителей музыки.",6 700 тг,0,Лань-Пресс,2018 г.,9785811435753,136,Мягкий,10 мм,305 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5125448_1457983.jpeg
Вальсы. Для фортепиано. Выпуск VII. Прощание с Санкт-Петербургом. Полет мысли. Блуждающие огни,Штраус И. (сын),"Иоганн Штраус-сын - великий австрийский композитор, в первую очередь прославившийся как автор множества танцевальных произведений. Среди них особое место занимают вальсы. Авторские характеристичные названия вальсов мастерски отражены и в музыкальном содержании. Структура сочинений необычна: между интродукцией и кодой заключены пять вальсовых тем, представляющих собой своеобразную вальсовую ""гирлянду"". В настоящей серии планируется публикация наиболее полного собрания вальсов Штрауса в переложении для фортепиано. Седьмой выпуск состоит из девяти вальсов, в числе которых - вальс ""Прощание с Санкт-Петербургом"". Издание адресовано учащимся музыкальных школ, училищ, вузов, а также широкому кругу любителей музыки.",6 000 тг,0,Лань-Пресс,2018 г.,9785811435760,112,Мягкий,10 мм,255 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5125436_1457971.jpeg
Вальсы. Для фортепиано. Выпуск VIII. Колонны. Моторы. Венская хроника. Карнавальный посол. С гор,Штраус И. (сын),Неизвестно,7 100 тг,0,Лань-Пресс,2018 г.,9785811435777,Мягкий,7 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5125447_1457982.jpeg
Венгерские рапсодии №8 и №12,Лист Ф.,Неизвестно,2 800 тг,0,Композитор,2200002141888,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5015609_1337555.jpeg
Венгерские танцы. Для фортепиано в четыре руки. Ноты,Брамс Й.,"Венгерские танцы, написанные для фортепиано в четыре руки, принадлежат к числу самых популярных сочинений выдающегося немецкого композитора Йоганнеса Брамса (1833-1897).Издание адресовано пианистам, педагогам и студентам музыкальных учебных заведений.",5 900 тг,1,Лань-Пресс,2018 г.,9785811429950,120,Мягкий,6 мм,270 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5125524_1458060.jpeg
Весенние голоса. Избранные вальсы для фортепиано,Штраус И.,В нотном издании представлены избранные вальсы для фортепиано.,3 300 тг,1,Шабатура Д.М,2018 г.,97898571924278,64,Мягкий,10 мм,145 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111034_1444739.jpeg
Волшебный луч. Песни из кинофильмов. Музыка отечественного кино,Гладков Г.,Неизвестно,1 800 тг,0,ИП Козлов Сергей,9785962800899,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123694_1456401.jpeg
Времена года,Чайковский П.И.,"Вашему вниманию предлагается нотное издание ""П.И.Чайковский. Времена года"" для фортепиано.",4 000 тг,4,Шабатура Д.М,2017 г.,9789857095551,68,Мягкий,5 мм,155 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116208_1444743.jpeg
Десять очень легких пьесок. Для фортепиано,Мясковский Н.,"Стабильное учебное пособие, включающее необходимый художественный материал из программы ДМШ. 
Для учащихся 5-6 классов ДМШ.",1 800 тг,0,Музыка,2018 г.,9790660062036,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127604_1460100.jpeg
Детский альбом,Чайковский П.И.,Неизвестно,1 200 тг,5,Кифара,2013 г.,9790706363431,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5028557_1348320.jpeg
Детский альбом. Для фортепиано,Хачатурян А.И.,"""Детский альбом"" - цикл фортепианных миниатюр в двух тетрадях, написанных композитором в 1947 и 1967 годах. Содержит разнохарактерные, выразительные пьесы, адресованные как начинающим, так и ученикам старших классов детских музыкальных школ.",3 400 тг,2,Музыка,2018 г.,9790660064962,60,Мягкий,290 мм x 220 мм,8 мм,185 г.,http://www.bookcity.kz/content/images/thumbs/5127453_1459945.jpeg
Детский уголок. Для фортепиано,Дебюсси К.,Неизвестно,1 200 тг,0,Композитор СПБ,2013 г.,9790660005583,2 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132231_1464573.jpeg
Джазовые игрушки,Пилипенко Л.,Неизвестно,2 000 тг,0,ИД Катанский В.,2013 г.,9785943880711,4 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5126827_1459329.jpeg
Джазовые произведения для фортепиано,Гершвин Д.,"В этом сборнике представлены 15 наиболее известных песен Джорджа Гершвина в аранжировке джазового пианиста, композитора, аранжировщика, педагога Юрия Маркина. Гершвин не был джазменом, он просто писал песни для музыкальных спектаклей (мюзиклов), но эти песни содержат в себе что-то такое, что в последствии всегда вдохновляло джазменов. Аранжировки Ю.Маркина - чисто джазовые - написанные не сложно, в расчете на музыкальную школу, включают в себя импровизации.",3 100 тг,3,Шабатура Д.М,2014 г.,9789857024728,44,Мягкий,10 мм,120 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111005_1444700.jpeg
Джазовые произведения для фортепиано. Часть 1,Неизвестно,В сборник входят популярные джазовые произведения для фортепиано. Составитель - Шабатура Д.М.,4 500 тг,3,Шабатура Д.М,2018 г.,97898571925718,72,Мягкий,10 мм,170 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5119562_1452380.jpeg
Джазовые произведения для фортепиано. Часть 2,Неизвестно,В нотном издании представлены популярные джазовые мелодии для фортепиано.,4 300 тг,2,Шабатура Д.М,2016 г.,9789857095179,Мягкий,6 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5121533_1454277.jpeg
Джазовый альбом. Для фортепиано,Якушенко И.,Цикл фортепианных музыкальных картин в джазовом стиле. Вошедшие в него пьесы разной степени трудности могут быть использованы в педагогической практике в детских музыкальных школах и музыкальных училищах.,4 500 тг,2,Музыка,2008 г.,9790660067413,64,Мягкий,290 мм x 220 мм,4 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127423_1459916.jpeg
Дюк Эллингтон. Избранное. Искусство джаза,Эллингтон Д.,Неизвестно,2 100 тг,5,ИП Козлов Сергей,9785962801384,Мягкий,4 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123700_1456407.jpeg
Ежедневные упражнения,Черни К.,"Нет ничего более целесообразного и важного для того, кто желает преуспеть в фортепианном искусстве, чем прилежная работа над наиболее часто встречающимися трудностями - до тех пор, пока не будет достигнуто совершенство исполнения. Таковой и является цель настоящих упражнений. Если исполнитель после всестороннего изучения будет играть их согласно предписаниям и с метрономом в указанном темпе, то его пальцы смогут с легкостью овладеть сложнейшими из пассажей.Название ""Ежедневные упражнения"" не означает, что все их необходимо играть каждый день. Наоборот, следует посвящать примерно один час ежедневно изучению некоторых из них. Трех или четырех дней таких занятий будет достаточно, чтобы завершить курс и достичь поставленной цели.Данные упражнения следует исполнять со всеми обозначенными повторениями, без остановок, в указанном темпе. После каждой коды можно делать небольшую паузу.",3 800 тг,1,Шабатура Д.М,2017 г.,9789857095896,56,Мягкий,5 мм,125 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5116152_1449095.jpeg
Ежедневные упражнения пианиста. Арпеджио,Тимакин Е.М.,"В работе заслуженного учителя России, известного педагога Е.Тимакина, воспитавшего плеяду выдающихся отечественных пианистов (в том числе Е.Новицкую, М.Плетнева, В.Фельдмана), представлены фортепианные упражнения на основе трех-, четырех- и пятизвучных арпеджио. Предназначается для студентов музыкальных училищ и консерваторий, а также для концертирующих исполнителей.",3 200 тг,0,Музыка,2016 г.,9790660060599,56,290 мм x 220 мм,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5086457_1425196.jpeg
"Ежедневные упражнения юного пианиста. Тетради 1, 2",Неизвестно,В сборник вошли ежедневные упражнения для учащихся младших и средних классов детской музыкальной школы.,2 200 тг,3,Шабатура Д.М,2016 г.,9789857095094,32,Мягкий,10 мм,80 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111001_1444753.jpeg
Ежедневные упражнения юного пианиста. Тетрадь 3,Неизвестно,"Предлагаемые упражнения на двойные ноты, октавную к аккордовую технику, а также на сложные сочетания четырех звуков требуют при исполнении особого внимания. Играя, тщательно следите за свободой пальцев, рук и корпуса. При первых признаках утомления немедленно дайте отдых рукам. Помните, что даже кратковременная напряженность опасна.",2 100 тг,1,Шабатура Д.М,2016 г.,9789857095124,28,Мягкий,10 мм,105 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5111002_1444758.jpeg
Знаменитые произведения в легком переложении для фортепиано,Рахманинов С.,"Издание содержит популярные, знакомые всем произведения великого русского композитора, представленные полностью или в виде фрагментов. Адаптированные фортепианные переложения выполнил Д. Молин. В сборник вошли прелюдии до-диез минор, соль минор и соль-диез минор, «Итальянская полька», Каватина Алеко из оперы «Алеко», романсы «Не пой, красавица, при мне», «Сирень», «Здесь хорошо», «В молчаньи ночи тайной», «Вокализ», фрагменты из Рапсодии на тему Паганини, фортепианных концертов (№ 1, 2, 3), симфонических и камерных произведений.Предназначается для учащихся старших классов детских музыкальных школ, студентов музыкальных училищ, а также для широкого круга любителей музыки.",3 900 тг,3,Музыка,2018 г.,9790660067772,Мягкий,9 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127441_1459932.jpeg
Знаменитые произведения в лёгком переложении для фортепиано,Римский-Корсаков Н.,"Издание содержит популярные, знакомые всем произведения великого русского композитора, представленные полностью или в виде фрагментов.",3 400 тг,0,Музыка,2018 г.,9790660065716,Мягкий,5 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129931_1459967.jpeg
Из нотной тетради Анны-Магдалены Бах,Бах И.С.,"Для художественного развития молодых пианистов, воспитания их профессионального мастерства исключительную важность имеет изучение клавирного творчества великих полифонистов. Опытом многих поколений педагогов доказано: наилучший педагогический материал для воспитания полифонического звукового мышления пианиста – клавирное наследие И.С. Баха, а первой ступенькой на пути к полифоническому мастерству является широко известный сборник под названием «Нотная тетрадь Анны Магдалены Бах». Две «Нотные тетради Анны Магдалены Бах», представляющие собой своеобразные домашние музыкальные альбомы семьи И.С. Баха, содержат инструментальные и вокальные пьесы самого различного характера. Все эти сочинения – как собственные, так и чужие – вписаны в тетради рукой И.С. Баха, иногда – его жены А.М. Бах. встречаются также страницы, исписанные детским почерком кого-либо из младших членов семьи.",1 000 тг,3,ИП Козлов Сергей,4607026910137,3 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123719_1456095.jpeg
Избранные произведения. Для фортепиано. Выпуск 1,Скрябин А.,Неизвестно,4 000 тг,0,Музыка,2018 г.,9790660064313,Мягкий,6 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127452_1459944.jpeg
Избранные сонаты,Чимароза Д.,Неизвестно,1 100 тг,0,Кифара,2008 г.,9790706363110,5 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5015309_1336548.jpeg
Избранные сонаты,Клементи М.,"Издание содержит популярные в педагогической практике произведения выдающегося композитора, педагога и пианиста XVIII-XIX веков. Предназначено для учащихся старших классов детских музыкальных школ и студентов музыкальных училищ.",3 800 тг,2,Музыка,2012 г.,9790706380667,80,Мягкий,290 мм x 220 мм,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5021055_1342140.jpeg
Избранные сонаты для фортепиано. Выпуск 1,Гайдн Й.,Неизвестно,3 500 тг,1,Музыка,2011 г.,9790706373959,6 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5052644_1363446.jpeg
Избранные сонаты для фортепиано. Выпуск 2,Гайдн Й.,В издание включены часто использующиеся в педагогической практике сонаты великого австрийского композитора. Предназначается для учащихся детских музыкальных школ и студентов музыкальных училищ.,3 200 тг,1,Музыка,2010 г.,9790706373546,64,Мягкий,290 мм x 220 мм,6 мм,195 г.,http://www.bookcity.kz/content/images/thumbs/5052362_1362799.jpeg
Избранные сонаты для фортепиано. Часть 1,Гайдн Й.,Неизвестно,5 700 тг,3,Шабатура Д.М,2018 г.,9789857192076,Мягкий,6 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123779_1456483.jpeg
