Title,Category,PDF
Неврология,"Регулярные выпуски «РМЖ» № 7, 2019",https://www.rmj.ru/upload/iblock/5cb/RMJ_MO_07_2019_Neurology.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 5, 2019",https://www.rmj.ru/upload/iblock/0a2/RMJ_05_2019_Gastro.pdf
Клинические рекомендации и алгоритмы для практикующих врачей,"Регулярные выпуски «РМЖ» № 4, 2019",https://www.rmj.ru/upload/iblock/4e1/RMJ_4_2019_KlinRek.pdf
Хирургия. Урология,"Регулярные выпуски «РМЖ» № 2, 2019",https://www.rmj.ru/upload/iblock/1bb/RMJ_2_2019_Hirurgia-Urologiya.pdf
Аллергология. Иммунология,"Регулярные выпуски «РМЖ» № 3, 2019",https://www.rmj.ru/upload/iblock/7ef/RMJ_03_2019_Allergology.pdf
Имунный ответ,"Регулярные выпуски «РМЖ» № 1(II), 2019",https://www.rmj.ru/upload/iblock/e34/RMJ_1-2_2019_ImunniyOtvet.pdf
Клинические рекомендации и алгоритмы для практикующих врачей,"Регулярные выпуски «РМЖ» № 1(I), 2019",https://www.rmj.ru/upload/iblock/850/RMJ_1-1_2019_KlinReki-new.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 12(II), 2018",https://www.rmj.ru/upload/iblock/e33/RMJ_12-2_2018_Revmatologia.pdf
Ангиология. Гемостаз,"Регулярные выпуски «РМЖ» № 6(II), 2018",https://www.rmj.ru/upload/iblock/9be/RMJ_06-2_2018_Angiology.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 10(II), 2018",https://www.rmj.ru/upload/iblock/ac8/RMJ_10-2_2018_LOR.pdf
Дерматология,"Регулярные выпуски «РМЖ» № 8(II), 2018",https://www.rmj.ru/upload/iblock/bc5/RMJ_08-2_2018_Dermatoloiya.pdf
Неврология,"Регулярные выпуски «РМЖ» № 12(I), 2018",https://www.rmj.ru/upload/iblock/ccf/RMJ_12-1_2018_Neurology.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 11(II), 2018",https://www.rmj.ru/upload/iblock/8a5/RMJ_11-2_2018_Endocrinologia.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 11(I), 2018",https://www.rmj.ru/upload/iblock/af6/RMJ_11-1_2018_Kardiologia.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 10(I), 2018",https://www.rmj.ru/upload/iblock/4e0/RMJ_10-1_2018_BolezniDyhPutey.pdf
Педиатрия,"Регулярные выпуски «РМЖ» № 9, 2018",https://www.rmj.ru/upload/iblock/9d0/RMJ_09_2018_Pediatria.pdf
Аллергология / иммунология,"Регулярные выпуски «РМЖ» № 8(I), 2018",https://www.rmj.ru/upload/iblock/de1/RMJ_08-1_2018_Allergo.pdf
Неврология,"Регулярные выпуски «РМЖ» № 7, 2018",https://www.rmj.ru/upload/iblock/be8/RMJ_7_2018_Neuro.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 6(I), 2018",https://www.rmj.ru/upload/iblock/641/RMJ_06-1_2018_Kardiologiya.pdf
Педиатрия,"Регулярные выпуски «РМЖ» № 5(II), 2018",https://www.rmj.ru/upload/iblock/26b/RMJ_05-2_2018_Pediatria.pdf
Неврология,"Регулярные выпуски «РМЖ» № 4(II), 2018",https://www.rmj.ru/upload/iblock/932/RMJ_04-2_2018_Nevrologia.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 4(I), 2018",https://www.rmj.ru/upload/iblock/332/RMJ_04-1_2018_Revmatologia.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 3 (II), 2018",https://www.rmj.ru/upload/iblock/861/RMJ_03-2_2018_LOR.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 3(I), 2018",https://www.rmj.ru/upload/iblock/403/RMJ_03-1_2018_Bolezni_DyhPutey.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 1(II), 2018",https://www.rmj.ru/upload/iblock/c22/RMJ_01-2_2018_Kardio.pdf
Педиатрия,"Регулярные выпуски «РМЖ» № 2(ll), 2018",https://www.rmj.ru/upload/iblock/520/RMJ_02-2_2018_Pediatria.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 1(I), 2018",https://www.rmj.ru/upload/iblock/422/RMJ_01_2018_Endocrinologia.pdf
Хирургия,"Регулярные выпуски «РМЖ» № 28, 2017",https://www.rmj.ru/upload/iblock/0fd/RMJ_28_2017_Hirurgiya.pdf
Урология,"Регулярные выпуски «РМЖ» № 27, 2017",https://www.rmj.ru/upload/iblock/4d3/RMJ_27_2017_Urologia.pdf
Клинические рекомендации и алгоритмы для практикующих врачей,"Регулярные выпуски «РМЖ» № 25, 2017",https://www.rmj.ru/upload/iblock/c7c/RMJ_25_2017_Klin-rek.pdf
Болевой синдром,"Регулярные выпуски «РМЖ» № 24, 2017",https://www.rmj.ru/upload/iblock/4f7/RMJ_24_2017_Bolevoy_sindrom.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 23, 2017",https://www.rmj.ru/upload/iblock/90b/RMJ_23_2017_LOR.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 22, 2017",https://www.rmj.ru/upload/iblock/b5c/RMJ_22_2017_Endokrinologia.pdf
Неврология,"Регулярные выпуски «РМЖ» № 21, 2017",https://www.rmj.ru/upload/iblock/f94/RMJ_21_2017_Nevrologia.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 20, 2017",https://www.rmj.ru/upload/iblock/084/RMJ_20_2017_Kardiologiya.pdf
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 19, 2017",https://www.rmj.ru/upload/iblock/43d/RMJ_19_2017_Pediatria.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 18, 2017",https://www.rmj.ru/upload/iblock/09e/RMJ_18_2018_Pulmo.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 17, 2017",https://www.rmj.ru/upload/iblock/8e9/RMJ_17_2017_Gastroenterologya.pdf
Онкология,"Регулярные выпуски «РМЖ» № 16, 2017",https://www.rmj.ru/upload/iblock/0bf/RMJ_16_2017_Onkologiya.pdf
Неврология,"Регулярные выпуски «РМЖ» № 13, 2017",https://www.rmj.ru/upload/iblock/7a1/RMJ_13_2017_Nevrologia.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 10, 2017",https://www.rmj.ru/upload/iblock/c4b/RMJ_10_2017_Gastroenterologya.pdf
Неврология,"Регулярные выпуски «РМЖ» № 9, 2017",https://www.rmj.ru/upload/iblock/4b4/RMJ_09_2017_Nevrologia.pdf
Урология. Хирургия,"Регулярные выпуски «РМЖ» № 8, 2017",https://www.rmj.ru/upload/iblock/2bb/RMJ_08_2017_Hirurgia-Urologia.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 7, 2017",https://www.rmj.ru/upload/iblock/eab/RMJ_07_2017_Revmatologiya.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 6, 2017",https://www.rmj.ru/upload/iblock/110/RMJ_06_2017_LOR.pdf
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 5, 2017",https://www.rmj.ru/upload/iblock/4d1/RMJ_05_2017_Pediatria.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 4, 2017",https://www.rmj.ru/upload/iblock/9b9/RMJ_04_2017_Kardiologiya.pdf
Клинические рекомендации и алгоритмы для практикующих врачей. Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 3, 2017",https://www.rmj.ru/upload/iblock/a4a/RMJ_03_2017_Algoritmy.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 1, 2017",https://www.rmj.ru/upload/iblock/f7c/RMJ_01_2017_Endokrinologia.pdf
Болевой синдром,"Регулярные выпуски «РМЖ» № 25, 2016",https://www.rmj.ru/upload/iblock/a96/RMJ_25_2016_Bolevoy_sindrom.pdf
Неврология,"Регулярные выпуски «РМЖ» № 24, 2016",https://www.rmj.ru/upload/iblock/f8b/RMJ_24_2016_Nevrologia.pdf
Урология,"Регулярные выпуски «РМЖ» № 23, 2016",https://www.rmj.ru/upload/iblock/f68/RMJ_23_2016_Urologia.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 22, 2016",https://www.rmj.ru/upload/iblock/ef5/RMJ_22_2016_Revmatologia.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 21, 2016",https://www.rmj.ru/upload/iblock/541/RMJ_21_2016_LOR.pdf
Эндокринология. Заболевания костно-мышечной системы,"Регулярные выпуски «РМЖ» № 20, 2016",https://www.rmj.ru/upload/iblock/c5b/RMJ_20_2016_EndokrinologiamKosti.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 19, 2016",https://www.rmj.ru/upload/iblock/799/RMJ_19_2016_Kardiologya.pdf
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 18, 2016",https://www.rmj.ru/upload/iblock/ae2/ae21c22b81edbdbd8e684bad4450cc88.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 17, 2016",https://www.rmj.ru/upload/iblock/73a/73a4d5911af7f0d45c633968c48c57dc.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 16, 2016",https://www.rmj.ru/upload/iblock/829/82989100c8c2a00e50b13e90c1e3e80c.pdf
Клинические рекомендации и алгоритмы для практикующих врачей. Дерматология,"Регулярные выпуски «РМЖ» № 14, 2016",https://www.rmj.ru/upload/iblock/0e7/0e737e17e605fe83ac7c3faa39595985.pdf
Неврология,"Регулярные выпуски «РМЖ» № 13, 2016",https://www.rmj.ru/upload/iblock/00b/00b8abf607e194c048f06bffc71dd4d5.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 11, 2016",https://www.rmj.ru/upload/iblock/525/5250c0596d7dab622612adaea066437f.pdf
Дерматология,"Регулярные выпуски «РМЖ» № 10, 2016",https://www.rmj.ru/upload/iblock/f49/f490b503b66b480622e026ce3e5424cf.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 9, 2016",https://www.rmj.ru/upload/iblock/d51/d512140f28ede2886936993680afcdfe.pdf
Урология. Хирургия,"Регулярные выпуски «РМЖ» № 8, 2016",https://www.rmj.ru/upload/iblock/cd2/cd2b2b52dd9c5883c5928fb4f777eadf.pdf
Неврология,"Регулярные выпуски «РМЖ» № 7, 2016",https://www.rmj.ru/upload/iblock/695/695c27d3866f25c57b60b37723873479.pdf
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 6, 2016",https://www.rmj.ru/upload/iblock/d34/d34c4c93d8d49c044871e15dc0b39703.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 4, 2016",https://www.rmj.ru/upload/iblock/5ba/5ba84356095c579acaf8bc4794d01401.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 2, 2016",https://www.rmj.ru/upload/iblock/c0b/c0b7f67cd3eb4ec66ba34c49bafa59ad.pdf
Болевой синдром. Специальный выпуск,"Регулярные выпуски «РМЖ» № 29, 2015",https://www.rmj.ru/upload/iblock/1bb/1bb7ee548810fc8633af218837ad3ab6.pdf
Кардиология. Эндокринология,"Регулярные выпуски «РМЖ» № 27, 2015",https://www.rmj.ru/upload/iblock/fd8/fd85683aa6d328b4c9596f046c56e0f9.pdf
Poly клиника. Хирургия. Урология,"Регулярные выпуски «РМЖ» № 26, 2015",https://www.rmj.ru/upload/iblock/1a0/1a0b0158fde4f00c503c502f5d6ac38e.pdf
Неврология,"Регулярные выпуски «РМЖ» № 24, 2015",https://www.rmj.ru/upload/iblock/6bc/6bcab02c4eff82ed6e92a8771db08b0f.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 23, 2015",https://www.rmj.ru/upload/iblock/d64/d64fef0b3030045b633783e1ad779e49.pdf
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 22, 2015",https://www.rmj.ru/upload/iblock/56e/56e21d3919cb85da54eb1ca8c5fafac6.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 21, 2015",https://www.rmj.ru/upload/iblock/fc8/fc872c7036f39bb164687a99c2639a30.pdf
Дерматология,"Регулярные выпуски «РМЖ» № 19, 2015",https://www.rmj.ru/upload/iblock/090/09010fa0b28d4d151aa24c47b29e601d.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 18, 2015",https://www.rmj.ru/upload/iblock/d45/d4511635d94953c388d23dae2a26b7b0.pdf
Неврология,"Регулярные выпуски «РМЖ» № 16, 2015",https://www.rmj.ru/upload/iblock/463/463b2bafeda2a7dc926e2df22eb2a8a1.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 15, 2015",https://www.rmj.ru/upload/iblock/651/6519ab67aff0389383114bf41ca6dd45.pdf
Гастроэнтерология. Хирургия,"Регулярные выпуски «РМЖ» № 13, 2015",https://www.rmj.ru/upload/iblock/fe9/fe9ab29a9529f9b30a50dcd3bfde4723.pdf
Неврология,"Регулярные выпуски «РМЖ» № 12, 2015",https://www.rmj.ru/upload/iblock/861/8613a489a8cc74f1704b4a08464f0de9.pdf
Урология,"Регулярные выпуски «РМЖ» № 11, 2015",https://www.rmj.ru/upload/iblock/1ba/1ba00c5a8249d4f8db8a1c10b45c53ef.pdf
Дерматология. Аллергология,"Регулярные выпуски «РМЖ» № 9, 2015",https://www.rmj.ru/upload/iblock/803/803bff3c8e7345cb2de7010907c5b054.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 8, 2015",https://www.rmj.ru/upload/iblock/dd8/dd8591e84504951b1da494f87f0766f9.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 7, 2015",https://www.rmj.ru/upload/iblock/e11/e11b7015b455f8124c52cfea8f3addd0.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 6, 2015",https://www.rmj.ru/upload/iblock/d02/d0289fa0635a3b2494398bf324400cb5.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 5, 2015",https://www.rmj.ru/upload/iblock/981/981294fdb349bd7b6ed4f2a25cb594d3.pdf
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 3, 2015",https://www.rmj.ru/upload/iblock/afd/afdc9068667a63b2ee846f46706481c1.pdf
Эндоболизм,"Регулярные выпуски «РМЖ» № 0, 2015",https://www.rmj.ru/upload/iblock/421/4213093cc6a8e3e16afe5f53942d61a9.pdf
Хирургия. Реаниматология и неотложные состояния,"Регулярные выпуски «РМЖ» № 30, 2014",https://www.rmj.ru/upload/iblock/632/632832374f980700239ba1784170e64a.pdf
Урология,"Регулярные выпуски «РМЖ» № 29, 2014",https://www.rmj.ru/upload/iblock/835/835f5bf19c65fbbb9ec7c3e28cf38bbd.pdf
Специальный выпуск «Болевой синдром»,"Регулярные выпуски «РМЖ» № 0, 2014",https://www.rmj.ru/upload/iblock/aa6/aa6f56e2e2de4197d156bdaa506aab03.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 28, 2014",https://www.rmj.ru/upload/iblock/cd2/cd21ed757898f4ea2276f2e995c9f351.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 26, 2014",https://www.rmj.ru/upload/iblock/1d6/1d6a9a7b1b5030490d109ecd57125858.pdf
Спецвыпуск: Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 0, 2014",
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 25, 2014",https://www.rmj.ru/upload/iblock/1f9/1f97f00849b366702df2b5bb2a1f523b.pdf
Кардиология. Эндокринология,"Регулярные выпуски «РМЖ» № 23, 2014",https://www.rmj.ru/upload/iblock/b91/RMJ_22_23_2014.pdf
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 22, 2014",https://www.rmj.ru/upload/iblock/274/RMJ_22_22_2014.pdf
Газета «Доктор РМЖ». Гинекология,"Регулярные выпуски «РМЖ» № 0, 2014",https://www.rmj.ru/upload/iblock/956/Gazetaz01-press.pdf
Мать и Дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 21, 2014",https://www.rmj.ru/upload/iblock/50d/RMJ_22_21_2014.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 20, 2014",https://www.rmj.ru/upload/iblock/b30/RMJ_BOP_20_Layout%201.pdf
Хирургия. Урология,"Регулярные выпуски «РМЖ» № 17, 2014",https://www.rmj.ru/upload/iblock/a1b/a1b664f8719b3930e886ceae778f41aa.pdf
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 16, 2014",https://www.rmj.ru/upload/iblock/f0d/RMJ_16-Nevrologia_Layout%201.pdf
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 15, 2014",https://www.rmj.ru/upload/iblock/c1e/RMJ_22_15_2014.pdf
Эндокринология,"Регулярные выпуски «РМЖ» № 13, 2014",https://www.rmj.ru/upload/iblock/c84/RMJ_13_Endokrinologia_Layout%201.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 12, 2014",https://www.rmj.ru/upload/iblock/194/RMJ_22_12_2014.pdf
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 10, 2014",https://www.rmj.ru/upload/iblock/e26/RMJ_22_10_2014.pdf
Оториноларингология,"Регулярные выпуски «РМЖ» № 9, 2014",https://www.rmj.ru/upload/iblock/151/RMJ_22_9_2014.pdf
Дерматология. Венерология,"Регулярные выпуски «РМЖ» № 8, 2014",https://www.rmj.ru/upload/iblock/378/RMJ_22_8_2014.pdf
Ревматология,"Регулярные выпуски «РМЖ» № 7, 2014",https://www.rmj.ru/upload/iblock/ba7/RMJ_22_7_2014.pdf
Poly Клиника. Человек и лекарство,"Регулярные выпуски «РМЖ» № 6, 2014",https://www.rmj.ru/upload/iblock/399/RMJ_22_6_2014.pdf
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 5, 2014",https://www.rmj.ru/upload/iblock/f78/RMJ_22_5_2014.pdf
Педиатрия,"Регулярные выпуски «РМЖ» № 3, 2014",https://www.rmj.ru/upload/iblock/e49/RMJ_22_3_2014.pdf
Кардиология,"Регулярные выпуски «РМЖ» № 2, 2014",https://www.rmj.ru/upload/iblock/f2a/RMJ_22_2_2014.pdf
Хирургия. Урология,"Регулярные выпуски «РМЖ» № 34, 2013",
Оториноларингология,"Регулярные выпуски «РМЖ» № 33, 2013",
Ревматология,"Регулярные выпуски «РМЖ» № 32, 2013",
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 31, 2013",
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 30, 2013",
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 29, 2013",
Эндокринология,"Регулярные выпуски «РМЖ» № 28, 2013",
Кардиология,"Регулярные выпуски «РМЖ» № 27, 2013",
Специальный выпуск. Болевой синдром,"Регулярные выпуски «РМЖ» № 0, 2013",https://www.rmj.ru/upload/iblock/435/RMJ_Bolevoy_Sindrom_2013_Layout%201.pdf
Педиатрия,"Регулярные выпуски «РМЖ» № 25, 2013",
Педиатрия,"Регулярные выпуски «РМЖ» № 24, 2013",
Дерматология,"Регулярные выпуски «РМЖ» № 22, 2013",
Заболевания костно-мышечной системы,"Регулярные выпуски «РМЖ» № 21, 2013",
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 20, 2013",
Урология. Библиотека пациента,"Регулярные выпуски «РМЖ» № 18, 2013",
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 16, 2013",
Хирургия,"Регулярные выпуски «РМЖ» № 15, 2013",
Гастроэнтерология,"Регулярные выпуски «РМЖ» № 13, 2013",
Кардиология. Эндокринология,"Регулярные выпуски «РМЖ» № 12, 2013",
Оториноларингология,"Регулярные выпуски «РМЖ» № 11, 2013",
Неврология,"Регулярные выпуски «РМЖ» № 10, 2013",
Дерматология,"Регулярные выпуски «РМЖ» № 8, 2013",
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 7, 2013",
Ревматология,"Регулярные выпуски «РМЖ» № 6, 2013",
Кардиология,"Регулярные выпуски «РМЖ» № 4, 2013",
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 2, 2013",
Хирургия. Урология,"Регулярные выпуски «РМЖ» № 36, 2012",
Болезни органов пищеварения,"Регулярные выпуски «РМЖ» № 35, 2012",
Избранные лекции для семейных врачей,"Регулярные выпуски «РМЖ» № 34, 2012",
Клинические рекомендации и алгоритмы для практикующих врачей,"Регулярные выпуски «РМЖ» № 33, 2012",
Эндокринология,"Регулярные выпуски «РМЖ» № 32, 2012",
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 31, 2012",
Ревматология,"Регулярные выпуски «РМЖ» № 30, 2012",
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 29, 2012",
Медицинское обозрение. Клиническая фармакология,"Регулярные выпуски «РМЖ» № 28, 2012",
Оториноларингология,"Регулярные выпуски «РМЖ» № 27, 2012",
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 26, 2012",
Кардиология,"Регулярные выпуски «РМЖ» № 25, 2012",
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 24, 2012",
"Специальный выпуск ""Заболевания костно-мышечной системы""","Регулярные выпуски «РМЖ» № 23, 2012",
Дерматология,"Регулярные выпуски «РМЖ» № 22, 2012",
Специальный выпуск. Болевой синдром,"Регулярные выпуски «РМЖ» № 0, 2012",
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 19, 2012",
Хирургия. Урология,"Регулярные выпуски «РМЖ» № 18, 2012",
Мать и дитя. Педиатрия,"Регулярные выпуски «РМЖ» № 16, 2012",
Болезни органов пищеварения,"Регулярные выпуски «РМЖ» № 15, 2012",
Кардиология,"Регулярные выпуски «РМЖ» № 14, 2012",
Эндокринология,"Регулярные выпуски «РМЖ» № 13, 2012",
Человек и лекарство. Часть 2,"Регулярные выпуски «РМЖ» № 12, 2012",
Клинические рекомендации и алгоритмы для практикующих врачей. Дерматология,"Регулярные выпуски «РМЖ» № 11, 2012",
Неврология,"Регулярные выпуски «РМЖ» № 10, 2012",
Оториноларингология,"Регулярные выпуски «РМЖ» № 9, 2012",
Неврология. Психиатрия,"Регулярные выпуски «РМЖ» № 8, 2012",
Ревматология,"Регулярные выпуски «РМЖ» № 7, 2012",
Болезни дыхательных путей,"Регулярные выпуски «РМЖ» № 6, 2012",
Человек и лекарство. Часть 1,"Регулярные выпуски «РМЖ» № 5, 2012",
Кардиология,"Регулярные выпуски «РМЖ» № 4, 2012",
Клинические рекомендации и алгоритмы для практикующих врачей. Избранные лекции для семейных врачей,"Регулярные выпуски «РМЖ» № 3, 2012",
Педиатрия,"Регулярные выпуски «РМЖ» № 2, 2012",
Хирургия. Урология,"Регулярные выпуски «РМЖ» № 32, 2011",
Клинические рекомендации и алгоритмы для практикующих врачей,"Регулярные выпуски «РМЖ» № 31, 2011",
,,
